simplified	traditional	pronunciation	meaning	hsklevel
下调	下調	xia4 diao4	to demote; to pass down to a lower unit	7-9
下调	下調	xia4 tiao2	to adjust downwards; to lower (prices, wages etc)	7-9
下跌	下跌	xia4 die1	to fall; to tumble	7-9
下车	下車	xia4 che1	to get off or out of (a bus, train, car etc)	1
下载	下載	xia4 zai3	to download; also pr. [xia4zai4]	4
下周	下週	xia4 zhou1	next week	2
下边	下邊	xia4 bian5	under; the underside; below	1
下乡	下鄉	xia4 xiang1	to go to the countryside	7-9
下降	下降	xia4 jiang4	to decline; to drop; to fall; to go down; to decrease	4
下雨	下雨	xia4 yu3	to rain	1
下雪	下雪	xia4 xue3	to snow	2
下面	下面	xia4 mian4	below; under; next; the following; also pr. [xia4 mian5]	3
下面	下麵	xia4 mian4	to boil noodles	3
不	不	bu4	no; not so; (bound form) not; un-	1
不一定	不一定	bu4 yi1 ding4	not necessarily; maybe	2
不久	不久	bu4 jiu3	not long (after); before too long; soon; soon after	2
不了了之	不了了之	bu4 liao3 liao3 zhi1	to settle a matter by leaving it unsettled; to end up with nothing definite	7-9
不亚于	不亞於	bu4 ya4 yu2	no less than; not inferior to	7-9
不亦乐乎	不亦樂乎	bu4 yi4 le4 hu1	lit. isn't that a joy? (quote from Confucius); fig. (jocular) extremely; awfully	7-9
不以为然	不以為然	bu4 yi3 wei2 ran2	not to accept as correct (idiom); to object; to disapprove; to take exception to	7-9
不但	不但	bu4 dan4	not only (... but also ...)	2
不便	不便	bu4 bian4	inconvenient; inappropriate; unsuitable; short of cash	6
不值	不值	bu4 zhi2	not worth	6
不假思索	不假思索	bu4 jia3 si1 suo3	(idiom) to act without taking time to think; to react instantly; to fire from the hip	7-9
不停	不停	bu4 ting2	incessant	5
不仅	不僅	bu4 jin3	not just; not limited to; (as a correlative conjunction) not only (..., but also ...)	3
不仅仅	不僅僅	bu4 jin3 jin3	not only; not just	6
不像话	不像話	bu4 xiang4 hua4	unreasonable; shocking; outrageous	7-9
不光	不光	bu4 guang1	not the only one; not only	3
不免	不免	bu4 mian3	inevitably	5
不再	不再	bu4 zai4	no more; no longer	6
不准	不准	bu4 zhun3	not to allow; to forbid; to prohibit	7-9
不利	不利	bu4 li4	unfavorable; disadvantageous; harmful; detrimental	5
不可思议	不可思議	bu4 ke3 si1 yi4	(idiom) inconceivable; unimaginable; unfathomable	7-9
不可避免	不可避免	bu4 ke3 bi4 mian3	(idiom) inevitable; unavoidable	7-9
不同	不同	bu4 tong2	different; distinct; not the same; not alike	2
不同寻常	不同尋常	bu4 tong2 xun2 chang2	out of the ordinary; unusual	7-9
不在乎	不在乎	bu4 zai4 hu5	not to care	4
不堪	不堪	bu4 kan1	cannot bear; cannot stand; utterly; extremely	7-9
不够	不夠	bu4 gou4	not enough; insufficient; inadequate	2
不大	不大	bu4 da4	not very (clear, far away etc); not too; not often; infrequently	1
不好意思	不好意思	bu4 hao3 yi4 si5	to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)	2
不如	不如	bu4 ru2	not equal to; not as good as; inferior to; it would be better to	2
不妨	不妨	bu4 fang2	there is no harm in; might as well	7-9
不安	不安	bu4 an1	unpeaceful; unstable; uneasy; disturbed; restless; worried	3
不定	不定	bu4 ding4	indefinite; indeterminate; (botany) adventitious	7-9
不宜	不宜	bu4 yi2	not suitable; inadvisable; inappropriate	7-9
不客气	不客氣	bu4 ke4 qi5	you're welcome; don't mention it; impolite; rude; blunt	1
不容	不容	bu4 rong2	must not; cannot; to not allow; cannot tolerate	7-9
不对	不對	bu4 dui4	incorrect; wrong; amiss; abnormal; queer	1
不少	不少	bu4 shao3	many; quite a few; a good number of	2
不屑	不屑	bu4 xie4	to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity	7-9
不已	不已	bu4 yi3	(used after a verb) endlessly; incessantly	7-9
不平	不平	bu4 ping2	uneven; injustice; unfairness; wrong; grievance; indignant; dissatisfied	7-9
不幸	不幸	bu4 xing4	misfortune; adversity; unfortunate; sad; unfortunately; CL:個|个[ge4]	5
不得不	不得不	bu4 de2 bu4	have no choice or option but to; cannot but; have to; can't help it; can't avoid	3
不得了	不得了	bu4 de2 liao3	desperately serious; disastrous; extremely; exceedingly	5
不得已	不得已	bu4 de2 yi3	to act against one's will; to have no alternative but to; to have to; to have no choice; must	7-9
不得而知	不得而知	bu4 de2 er2 zhi1	unknown; unable to find out	7-9
不必	不必	bu4 bi4	need not; does not have to; not necessarily	3
不怎么	不怎麼	bu4 zen3 me5	not very; not particularly	6
不怎么样	不怎麼樣	bu4 zen3 me5 yang4	not up to much; very indifferent; nothing great about it; nothing good to be said about it	6
不耻下问	不恥下問	bu4 chi3 xia4 wen4	not feel ashamed to ask and learn from one's subordinates	7-9
不惜	不惜	bu4 xi1	not stint; not spare; not hesitate (to do sth); not scruple (to do sth)	7-9
不慎	不慎	bu4 shen4	incautious; inattentive	7-9
不懈	不懈	bu4 xie4	untiring; unremitting; indefatigable	7-9
不成	不成	bu4 cheng2	won't do; unable to; (at the end of a rhetorical question) can that be?	6
不敢当	不敢當	bu4 gan3 dang1	lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me	5
不料	不料	bu4 liao4	unexpectedly; to one's surprise	6
不断	不斷	bu4 duan4	unceasing; uninterrupted; continuous; constant	3
不易	不易	bu4 yi4	not easy to do sth; difficult; unchanging	5
不时	不時	bu4 shi2	from time to time; now and then; occasionally; frequently	5
不景气	不景氣	bu4 jing3 qi4	slack; in a slump	7-9
不曾	不曾	bu4 ceng2	hasn't yet; hasn't ever	5
不服	不服	bu4 fu2	not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final; to remain unconvinced by; not to give in to	7-9
不服气	不服氣	bu4 fu2 qi4	unwilling to concede; defiant; indignant; to find it galling	7-9
不止	不止	bu4 zhi3	incessantly; without end; more than; not limited to	5
不正之风	不正之風	bu4 zheng4 zhi1 feng1	unhealthy tendency	7-9
不满	不滿	bu4 man3	dissatisfied; discontented; resentful; (before a number) to be less than	2
不为人知	不為人知	bu4 wei2 ren2 zhi1	not known to anyone; secret; unknown	7-9
不然	不然	bu4 ran2	not so; no; or else; otherwise; if not; How about ...?	4
不理	不理	bu4 li3	to refuse to acknowledge; to pay no attention to; to take no notice of; to ignore	7-9
不用	不用	bu4 yong4	need not	1
不用说	不用說	bu4 yong4 shuo1	needless to say; it goes without saying	7-9
不由得	不由得	bu4 you2 de5	can't help; cannot but	7-9
不由自主	不由自主	bu4 you2 zi4 zhu3	(idiom) can't help but; involuntarily	7-9
不相上下	不相上下	bu4 xiang1 shang4 xia4	equally matched; about the same	7-9
不知	不知	bu4 zhi1	not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)	7-9
不知不觉	不知不覺	bu4 zhi1 bu4 jue2	(idiom) unconsciously; unwittingly	7-9
不禁	不禁	bu4 jin1	can't help (doing sth); can't refrain from	6
不算	不算	bu4 suan4	to not calculate; to not count; to not be considered (as); to have no weight	7-9
不管	不管	bu4 guan3	not to be concerned; regardless of; no matter	4
不约而同	不約而同	bu4 yue1 er2 tong2	(idiom) (of two or more people) to take the same action without prior consultation; (usu. used adverbially) all (or both) of them, independently; as if by prior agreement	7-9
不经意	不經意	bu4 jing1 yi4	not paying attention; carelessly; by accident	7-9
不翼而飞	不翼而飛	bu4 yi4 er2 fei1	to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire	7-9
不耐烦	不耐煩	bu4 nai4 fan2	impatient; to lose patience	5
不能不	不能不	bu4 neng2 bu4	have to; cannot but	5
不至于	不至於	bu4 zhi4 yu2	unlikely to go so far as to; not as bad as	6
不良	不良	bu4 liang2	bad; harmful; unhealthy; (of a device, connection, material etc) defective; faulty	5
不行	不行	bu4 xing2	won't do; be out of the question; be no good; not work; not be capable	2
不要	不要	bu4 yao4	don't!; must not	2
不要紧	不要緊	bu4 yao4 jin3	unimportant; not serious; it doesn't matter; never mind; it looks all right, but	4
不见	不見	bu4 jian4	not to see; not to meet; to have disappeared; to be missing	6
不见得	不見得	bu4 jian4 de5	not necessarily; not likely	7-9
不解	不解	bu4 jie3	to not understand; to be puzzled by; indissoluble	7-9
不许	不許	bu4 xu3	not to allow; must not; can't	5
不论	不論	bu4 lun4	whatever; no matter what (who, how etc); regardless of; not to discuss	3
