simplified	traditional	pronunciation	meaning	hsklevel
席	蓆	xi2	woven mat (variant of 席[xi2])	7-9
盖	蓋	Ge3	surname Ge	4
盖	蓋	gai4	lid; top; cover; canopy; to cover; to conceal; to build	4
盖子	蓋子	gai4 zi5	cover; lid; shell	7-9
蓬勃	蓬勃	peng2 bo2	vigorous; flourishing; full of vitality	7-9
莲子	蓮子	lian2 zi3	lotus seed	7-9
蔓延	蔓延	man4 yan2	to extend; to spread	7-9
葱	蔥	cong1	scallion; green onion	7-9
蔬菜	蔬菜	shu1 cai4	vegetables	5
荡漾	蕩漾	dang4 yang4	to ripple; to undulate	7-9
萧条	蕭條	xiao1 tiao2	bleak; desolate; (economics) in a slump; sluggish; depressed	7-9
薄	薄	Bo2	surname Bo	4
薄	薄	bao2	thin; cold in manner; indifferent; weak; light; infertile	4
薄	薄	bo2	meager; slight; weak; ungenerous or unkind; frivolous; to despise; to belittle; to look down on; to approach or near	4
薄	薄	bo4	see 薄荷[bo4 he5]	4
薄弱	薄弱	bo2 ruo4	weak; frail	5
姜	薑	jiang1	ginger	7-9
剃	薙	ti4	shave; to weed	7-9
薪水	薪水	xin1 shui3	salary; wage	6
薯条	薯條	shu3 tiao2	french fries; french fried potatoes; chips	6
薯片	薯片	shu3 pian4	fried potato chips	6
熏	薰	xun1	fragrance; warm; to educate; variant of 熏[xun1]; to smoke; to fumigate	7-9
熏陶	薰陶	xun1 tao2	to seep in; to influence; to nurture; influence; training	7-9
借	藉	jie4	variant of 借[jie4]	2
蓝	藍	Lan2	surname Lan	2
蓝	藍	lan2	blue; indigo plant	2
蓝图	藍圖	lan2 tu2	blueprint	7-9
蓝天	藍天	lan2 tian1	blue sky	6
蓝色	藍色	lan2 se4	blue (color)	2
蓝领	藍領	lan2 ling3	blue-collar; blue-collar worker	6
藏	藏	Zang4	Tibetan ethnic group; Tibet Autonomous Region (short name for 西藏自治區|西藏自治区[Xi1 zang4 Zi4 zhi4 qu1])	6
藏	藏	cang2	to conceal; to hide away; to harbor; to store; to collect	6
藏	藏	zang4	storehouse; depository; Buddhist or Taoist scripture	6
藏匿	藏匿	cang2 ni4	to cover up; to conceal; to go into hiding	7-9
藏品	藏品	cang2 pin3	museum piece; collector's item; precious object	7-9
藏身	藏身	cang2 shen1	to hide; to go into hiding; to take refuge	7-9
艺人	藝人	yi4 ren2	entertainer; performing artist; artisan; craftsman	6
艺术	藝術	yi4 shu4	art	3
藤椅	藤椅	teng2 yi3	rattan chair	7-9
药	藥	yao4	medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種|种[zhong3],服[fu4],味[wei4]; to poison	2
药品	藥品	yao4 pin3	medicaments; medicine; drug	6
药店	藥店	yao4 dian4	pharmacy; drugstore	2
药方	藥方	yao4 fang1	prescription	7-9
药材	藥材	yao4 cai2	medicinal ingredient	7-9
药水	藥水	Yao4 shui3	Yaksu in North Korea, near the border with Liaoning and Jiling province	2
药水	藥水	yao4 shui3	medicine in liquid form; bottled medicine; lotion	2
药片	藥片	yao4 pian4	a (medicine) pill or tablet; CL:片[pian4]	2
药物	藥物	yao4 wu4	medicaments; pharmaceuticals; medication; medicine; drug	4
芦花	蘆花	lu2 hua1	reed catkin; reed flower	7-9
蕴涵	蘊涵	yun4 han2	to contain; to accumulate; to embrace; implicit condition; implication; entailment	7-9
蕴藏	蘊藏	yun4 cang2	to hold in store; to contain (untapped reserves etc)	7-9
苹果	蘋果	Ping2 guo3	Apple (American tech company)	3
苹果	蘋果	ping2 guo3	apple; CL:個|个[ge4],顆|颗[ke1]	3
蘑菇	蘑菇	mo2 gu5	mushroom; to pester; to dawdle	7-9
蘸	蘸	zhan4	to dip in (ink, sauce etc)	7-9
萝卜	蘿蔔	luo2 bo5	radish (Raphanus sativus), esp. daikon; CL:根[gen1]	7-9
虎	虎	hu3	tiger; CL:隻|只[zhi1]	5
虐待	虐待	nu:e4 dai4	to mistreat; to maltreat; to abuse; mistreatment; maltreatment	7-9
虔诚	虔誠	qian2 cheng2	pious; devout; sincere	7-9
处	處	chu3	to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish	4
处	處	chu4	(bound form) place; locality; (bound form) part; aspect; (bound form) office; department; bureau; classifier for locations: spot, point	4
处分	處分	chu3 fen4	to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個|个[ge4]	5
处在	處在	chu3 zai4	to be situated at; to find oneself at	5
处境	處境	chu3 jing4	situation (of a person)	7-9
处方	處方	chu3 fang1	medical prescription; to write out a prescription; (fig.) recommendation; advice	7-9
处于	處於	chu3 yu2	to be in (some state, position, or condition)	4
处理	處理	chu3 li3	to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices	3
处置	處置	chu3 zhi4	to handle; to take care of; to punish	7-9
处罚	處罰	chu3 fa2	to penalize; to punish	5
处处	處處	chu4 chu4	everywhere; in all respects	6
处长	處長	chu4 zhang3	department head; section chief	6
虚	虛	xu1	emptiness; void; abstract theory or guiding principles; empty or unoccupied; diffident or timid; false; humble or modest; (of health) weak; virtual; in vain	7-9
虚假	虛假	xu1 jia3	false; phony; sham	7-9
虚伪	虛偽	xu1 wei3	false; hypocritical; artificial; sham	7-9
虚幻	虛幻	xu1 huan4	imaginary; illusory	7-9
虚弱	虛弱	xu1 ruo4	weak; in poor health	7-9
虚心	虛心	xu1 xin1	open-minded; humble	5
虚拟	虛擬	xu1 ni3	to imagine; to make up; fictitious; theoretical; hypothetical; (computing) to emulate; (computing) virtual	7-9
虚构	虛構	xu1 gou4	to make up; fabrication; fictional; imaginary	7-9
号	號	hao2	(bound form) to wail; to howl	1
号	號	hao4	(literary) to call out; to command; (bound form) bugle; trumpet; (bound form) signal; bugle call (e.g. 起床號|起床号[qi3 chuang2 hao4]); (bound form) mark; sign; to mark; to label; to assign a number; (bound form) name; appellation (e.g. 國號|国号[guo2 hao4], 年號|年号[nian2 hao4], 遼寧號|辽宁号[Liao2 ning2 Hao4]); (after a numeral) number designation (e.g. 237號房間|237号房间[er4 san1 qi1 hao4 fang2 jian1] "Room 237"); day of the month (e.g. 七號|七号[qi1 hao4] "the 7th"); (bound form) size; type; category (e.g. 五號電池|五号电池[wu3 hao4 dian4 chi2]); (TCM) to feel (the pulse) (used in 號脈|号脉[hao4 mai4]); classifier for numbered people or items	1
号召	號召	hao4 zhao4	to call; to appeal	5
号码	號碼	hao4 ma3	number; CL:堆[dui1],個|个[ge4]	4
号称	號稱	hao4 cheng1	to be known as; to be nicknamed; to be purportedly; to claim (often exaggeratedly or falsely)	7-9
亏	虧	kui1	to lose (money); to have a deficit; to be deficient; to treat unfairly; luckily; fortunately; thanks to; (used to introduce an ironic remark about sb who has fallen short of expectations)	5
亏损	虧損	kui1 sun3	deficit; (financial) loss	7-9
亏本	虧本	kui1 ben3	to make a loss	7-9
蛇	虵	she2	variant of 蛇[she2]	5
蚊子	蚊子	wen2 zi5	mosquito	7-9
蚊帐	蚊帳	wen2 zhang4	mosquito net; CL:頂|顶[ding3]	7-9
蛇	蛇	she2	snake; serpent; CL:條|条[tiao2]	5
蛇	蛇	yi2	used in 委蛇[wei1 yi2]	5
蛋	蛋	Dan4	variant of 蜑[Dan4]	2
蛋	蛋	dan4	egg; CL:個|个[ge4],打[da2]; oval-shaped thing	2
蛋白质	蛋白質	dan4 bai2 zhi4	protein	7-9
蛋糕	蛋糕	dan4 gao1	cake; CL:塊|块[kuai4],個|个[ge4]	5
蜂蜜	蜂蜜	feng1 mi4	honey	7-9
蜜	蜜	mi4	honey	7-9
蜜月	蜜月	mi4 yue4	honeymoon	7-9
蜜蜂	蜜蜂	mi4 feng1	bee; honeybee; CL:隻|只[zhi1],群[qun2]	7-9
虾	蝦	ha2	used in 蝦蟆|虾蟆[ha2 ma5]	7-9
虾	蝦	xia1	shrimp; prawn	7-9
融	融	rong2	to melt; to thaw; to blend; to merge; to be in harmony	7-9
融入	融入	rong2 ru4	to blend into; to integrate; to assimilate; to merge	6
融化	融化	rong2 hua4	to melt; to thaw; to dissolve; to blend into; to combine; to fuse	7-9
融合	融合	rong2 he2	a mixture; an amalgam; fusion; welding together; to be in harmony with (nature); to harmonize with; to fit in	6
融洽	融洽	rong2 qia4	harmonious; friendly relations; on good terms with one another	7-9
融	螎	rong2	old variant of 融[rong2]	7-9
螺丝	螺絲	luo2 si1	screw	7-9
虫子	蟲子	chong2 zi5	insect; bug; worm; CL:條|条[tiao2],隻|只[zhi1]	4
蜡	蠟	la4	candle; wax	7-9
蜡烛	蠟燭	la4 zhu2	candle; CL:根[gen1],支[zhi1]	7-9
蠢	蠢	chun3	stupid; sluggish; clumsy; to wiggle (of worms); to move in a disorderly fashion	7-9
蛮	蠻	man2	barbarian; bullying; very; quite; rough; reckless	7-9
血	血	xie3	see 血[xue4]	3
血	血	xue4	blood; colloquial pr. [xie3]; CL:滴[di1],片[pian4]	3
血压	血壓	xue4 ya1	blood pressure	7-9
血栓	血栓	xue4 shuan1	blood clot; thrombus	7-9
血液	血液	xue4 ye4	blood; (fig.) lifeblood	6
血管	血管	xue4 guan3	vein; artery; CL:根[gen1]	6
血缘	血緣	xue4 yuan2	bloodline	7-9
血脉	血脈	xue4 mai4	blood vessels	7-9
行	行	hang2	(bound form) row; line; (bound form) line of business; trade; profession; (bound form) commercial firm; (bound form) to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column; classifier for rows or lines	3
行	行	heng2	used in 道行[dao4 heng2]	3
行	行	xing2	(bound form) to walk; to go; to travel; (literary) trip; journey; visit; (bound form) temporary; makeshift; (bound form) current; in circulation; (bound form) to do; to perform; capable; competent; all right; OK!; will do; behavior; conduct (Taiwan pr. [xing4]); (literary) about to; soon	3
行人	行人	xing2 ren2	pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor	2
行使	行使	xing2 shi3	to exercise (a right etc)	7-9
行列	行列	hang2 lie4	formation; array; (fig.) ranks (as in "join the ranks of ...")	7-9
行动	行動	xing2 dong4	operation; action; CL:個|个[ge4]; to move about; mobile	2
行家	行家	hang2 jia1	connoisseur; expert; veteran	7-9
行情	行情	hang2 qing2	market price; quotation of market price; the current market situation	7-9
行政	行政	xing2 zheng4	administration; (attributive) administrative; executive	7-9
行李	行李	xing2 li5	luggage; CL:件[jian4]	3
行业	行業	hang2 ye4	trade; profession; industry; business	4
行为	行為	xing2 wei2	action; conduct; behavior; activity	2
行程	行程	xing2 cheng2	journey; travel route; itinerary; distance of travel; course (of history); stroke (of a piston); (Tw) (computing) process	6
行走	行走	xing2 zou3	to walk	7-9
行驶	行駛	xing2 shi3	to travel along a route (of vehicles etc)	5
衍生	衍生	yan3 sheng1	to give rise to; to derive; derivative; derivation	7-9
同	衕	tong4	used in 衚衕|胡同[hu2 tong4]	6
弄	衖	long4	variant of 弄[long4]	2
街	街	jie1	street; CL:條|条[tiao2]	2
街道	街道	jie1 dao4	street; CL:條|条[tiao2]; subdistrict; residential district	4
街头	街頭	jie1 tou2	street	6
卫星	衛星	wei4 xing1	(aerospace) satellite; (astronomy) satellite; moon; CL:顆|颗[ke1]	5
卫生	衛生	wei4 sheng1	hygienic; sanitary; hygiene; sanitation	3
卫生间	衛生間	wei4 sheng1 jian1	bathroom; toilet; WC; CL:間|间[jian1]	3
卫视	衛視	wei4 shi4	satellite TV (abbr. for 衛星電視|卫星电视[wei4 xing1 dian4 shi4])	7-9
冲	衝	chong1	thoroughfare; to go straight ahead; to rush; to clash	6
冲	衝	chong4	powerful; vigorous; pungent; towards; in view of	6
冲刺	衝刺	chong1 ci4	(sports) to sprint; to spurt; to dash; to put in a big effort to achieve a goal as the deadline approaches	7-9
冲动	衝動	chong1 dong4	to have an urge; to be impetuous; impulse; urge	5
冲撞	衝撞	chong1 zhuang4	to collide; jerking motion; to impinge; to offend; to provoke	7-9
冲击	衝擊	chong1 ji1	to attack; to batter; (of waves) to pound against; shock; impact	6
冲浪	衝浪	chong1 lang4	to surf; surfing	7-9
冲突	衝突	chong1 tu1	conflict; to conflict; clash of opposing forces; collision (of interests); contention	5
衡量	衡量	heng2 liang2	to weigh; to examine; to consider	6
衣服	衣服	yi1 fu5	clothes; CL:件[jian4],套[tao4]	1
衣架	衣架	yi1 jia4	clothes hanger; clothes rack	3
衣食住行	衣食住行	yi1 shi2 zhu4 xing2	lit. clothing, food, housing and transportation (idiom); fig. people's basic needs	7-9
表	表	biao3	exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth)	2
表彰	表彰	biao3 zhang1	to honor; to commend; to cite (in dispatches)	7-9
表情	表情	biao3 qing2	(facial) expression; to express one's feelings	4
表态	表態	biao3 tai4	to declare one's position; to say where one stands	7-9
表扬	表揚	biao3 yang2	to praise; to commend	4
表明	表明	biao3 ming2	to make clear; to make known; to state clearly; to indicate; known	3
表格	表格	biao3 ge2	form; table; CL:張|张[zhang1],份[fen4]	3
表决	表決	biao3 jue2	to decide by vote; to vote	7-9
表演	表演	biao3 yan3	play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3]	3
表率	表率	biao3 shuai4	example; model	7-9
表现	表現	biao3 xian4	to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior	3
表白	表白	biao3 bai2	to explain oneself; to express; to reveal one's thoughts or feelings; declaration; confession	7-9
表示	表示	biao3 shi4	(of sb) to express; to state; to show; (of sth) to indicate; to signify; to show; expression; manifestation	2
表述	表述	biao3 shu4	to express; to articulate; to formulate	7-9
表达	表達	biao3 da2	to express; to convey	3
表面	表面	biao3 mian4	surface; face; outside; appearance	3
表面上	表面上	biao3 mian4 shang5	outwardly; superficially; on the face of it	6
衰弱	衰弱	shuai1 ruo4	weak; feeble	7-9
衰减	衰減	shuai1 jian3	to weaken; to attenuate	7-9
衰竭	衰竭	shuai1 jie2	organ failure; exhaustion; prostration (medicine)	7-9
衰老	衰老	shuai1 lao3	to age; to deteriorate with age; old and weak	7-9
衰退	衰退	shuai1 tui4	to decline; to fall; to drop; to falter; a decline; recession (in economics)	7-9
衷心	衷心	zhong1 xin1	heartfelt; wholehearted; cordial	7-9
只	衹	zhi3	variant of 只[zhi3]	3
邪	衺	xie2	old variant of 邪[xie2]	7-9
袋	袋	dai4	pouch; bag; sack; pocket	4
袖手旁观	袖手旁觀	xiu4 shou3 pang2 guan1	to watch with folded arms (idiom); to look on without lifting a finger	7-9
袖珍	袖珍	xiu4 zhen1	pocket-sized; pocket (book etc)	6
被	被	bei4	quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like "by" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu : 3 you2] to "go on a trip")	3
被动	被動	bei4 dong4	passive	5
被告	被告	bei4 gao4	(law) the defendant; the accused	6
被子	被子	bei4 zi5	blanket; quilt; CL:條|条[tiao2],床[chuang2]	3
被捕	被捕	bei4 bu3	to be arrested; under arrest	7-9
被迫	被迫	bei4 po4	to be compelled; to be forced	4
裤子	袴子	ku4 zi5	variant of 褲子|裤子, trousers; pants	3
裁	裁	cai2	to cut out (as a dress); to cut; to trim; to reduce; to diminish; to cut back (e.g. on staff); decision; judgment	7-9
裁判	裁判	cai2 pan4	(law) to judge; to adjudicate; verdict; judgement; (sports) to referee; (sports) umpire; referee; judge	5
裁定	裁定	cai2 ding4	ruling	7-9
裁决	裁決	cai2 jue2	ruling; adjudication	7-9
裂	裂	lie4	to split; to crack; to break open; to rend	6
裂痕	裂痕	lie4 hen2	crack; gap; split	7-9
裂缝	裂縫	lie4 feng4	crack; crevice; CL:道[dao4]	7-9
夹	裌	jia2	variant of 夾|夹[jia2]	5
里	裏	li3	variant of 裡|里[li3]	1
里面	裏面	li3 mian4	variant of 裡面|里面[li3 mian4]	3
裙子	裙子	qun2 zi5	skirt; CL:條|条[tiao2]	3
补	補	bu3	to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement	3
补偿	補償	bu3 chang2	to compensate; to make up	5
补充	補充	bu3 chong1	to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4]	3
补助	補助	bu3 zhu4	to subsidize; subsidy; allowance	6
补救	補救	bu3 jiu4	to remedy	7-9
补给	補給	bu3 ji3	supply; replenishment; to replenish	7-9
补习	補習	bu3 xi2	to take extra lessons in a cram school or with a private tutor	6
补考	補考	bu3 kao3	to sit for a makeup exam; to resit an exam; makeup exam; resit	6
补课	補課	bu3 ke4	to make up missed lesson; to reschedule a class	6
补贴	補貼	bu3 tie1	to subsidize; subsidy; allowance; to supplement (one's salary etc); benefit	5
装	裝	zhuang1	adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack	2
装修	裝修	zhuang1 xiu1	to decorate; interior decoration; to fit up; to renovate	4
装备	裝備	zhuang1 bei4	equipment; to equip; to outfit	6
装扮	裝扮	zhuang1 ban4	to decorate; to adorn; to dress up; to disguise oneself	7-9
装置	裝置	zhuang1 zhi4	to install; installation; equipment; system; unit; device	4
装饰	裝飾	zhuang1 shi4	to decorate; decoration; decorative; ornamental	5
里	裡	li3	lining; interior; inside; internal; also written 裏|里[li3]	1
里边	裡邊	li3 bian5	inside	1
里面	裡面	li3 mian4	inside; interior; also pr. [li3 mian5]	3
里头	裡頭	li3 tou5	inside; interior	2
裸	裸	luo3	naked	7-9
裸露	裸露	luo3 lu4	naked; bare; uncovered; exposed	7-9
裹	裹	guo3	to wrap around; bundle; parcel; package; to press into service; to pressgang; to make off with (sth)	7-9
制	製	zhi4	to manufacture; to make	7-9
制作	製作	zhi4 zuo4	to make; to manufacture	3
制品	製品	zhi4 pin3	products; goods	7-9
制成	製成	zhi4 cheng2	to manufacture; to turn out (a product)	5
制造	製造	zhi4 zao4	to manufacture; to make	3
复印	複印	fu4 yin4	to photocopy; to duplicate a document	3
复合	複合	fu4 he2	complex; compound; composite; hybrid; to compound; to combine	7-9
复习	複習	fu4 xi2	variant of 復習|复习[fu4 xi2]	2
复制	複製	fu4 zhi4	to duplicate; to make a copy of; to copy; to reproduce; to clone	4
复杂	複雜	fu4 za2	complicated; complex	3
裤子	褲子	ku4 zi5	trousers; pants; CL:條|条[tiao2]	3
杂	襍	za2	variant of 雜|杂[za2]	6
袜子	襪子	wa4 zi5	socks; stockings; CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]	4
摆	襬	bai3	hem (at the bottom of a garment)	4
衬托	襯托	chen4 tuo1	to serve to highlight; to serve as a backdrop or contrasting element	7-9
衬衣	襯衣	chen4 yi1	shirt; CL:件[jian4]	3
衬衫	襯衫	chen4 shan1	shirt; blouse; CL:件[jian4]	3
袭击	襲擊	xi2 ji1	attack (esp. surprise attack); raid; to attack	7-9
西	西	Xi1	the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish	1
西	西	xi1	west	1
西北	西北	Xi1 bei3	Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)	2
西北	西北	xi1 bei3	northwest	2
西南	西南	xi1 nan2	southwest	2
西方	西方	Xi1 fang1	the West; the Occident; Western countries	2
西班牙语	西班牙語	Xi1 ban1 ya2 yu3	Spanish language	6
西瓜	西瓜	xi1 gua1	watermelon; CL:顆|颗[ke1]	4
西红柿	西紅柿	xi1 hong2 shi4	tomato	5
西装	西裝	xi1 zhuang1	suit; Western-style clothes; CL:套[tao4]	5
西边	西邊	xi1 bian1	west; west side; western part; to the west of	1
西部	西部	xi1 bu4	western part	3
西医	西醫	xi1 yi1	Western medicine; a doctor trained in Western medicine	2
西餐	西餐	xi1 can1	Western-style food; CL:份[fen4],頓|顿[dun4]	2
要不	要不	yao4 bu4	otherwise; or else; how about...?; either... (or...)	7-9
要不是	要不是	yao4 bu5 shi4	if it were not for; but for	7-9
要不然	要不然	yao4 bu4 ran2	otherwise; or else; or	6
要命	要命	yao4 ming4	to cause sb's death; extremely; terribly; (used in complaining about sth) to be a nuisance	7-9
要好	要好	yao4 hao3	to be on good terms; to be close friends; striving for self-improvement	6
要害	要害	yao4 hai4	vital part; (fig.) key point; crucial	7-9
要强	要強	yao4 qiang2	eager to excel; eager to get ahead in life; strong-minded	7-9
要是	要是	yao4 shi5	(coll.) if	3
要求	要求	yao1 qiu2	to request; to require; requirement; to stake a claim; to ask; to demand; CL:點|点[dian3]	2
要素	要素	yao4 su4	essential factor; key constituent	6
要紧	要緊	yao4 jin3	important; urgent	7-9
要领	要領	yao4 ling3	main aspects; essentials; gist	7-9
要么	要麼	yao4 me5	or; either one or the other	6
要点	要點	yao4 dian3	main point; essential	7-9
覆盖	覆蓋	fu4 gai4	to cover	7-9
核	覈	he2	variant of 核[he2]; to investigate	7-9
见	見	jian4	to see; to meet; to appear (to be sth); to interview; opinion; view	1
见	見	xian4	to appear; also written 現|现[xian4]	1
见仁见智	見仁見智	jian4 ren2 jian4 zhi4	opinions differ (idiom)	7-9
见到	見到	jian4 dao4	to see	2
见外	見外	jian4 wai4	to treat sb with the formal courtesy accorded to a host or a guest	7-9
见效	見效	jian4 xiao4	to produce the intended effect; to achieve the desired result	7-9
见义勇为	見義勇為	jian4 yi4 yong3 wei2	(idiom, from the Analects) (usu. of a passer-by who comes across a critical situation) to step in and help; to take brave or selfless action	7-9
见解	見解	jian4 jie3	opinion; view; understanding	7-9
见证	見證	jian4 zheng4	to be witness to; witness; evidence	7-9
见识	見識	jian4 shi5	to gain first-hand knowledge of sth; to experience for oneself; knowledge; experience; insight	7-9
见钱眼开	見錢眼開	jian4 qian2 yan3 kai1	to open one's eyes wide at the sight of profit (idiom); thinking of nothing but personal gain; money-grubbing	7-9
见面	見面	jian4 mian4	to meet; to see each other; CL:次[ci4]	1
规则	規則	gui1 ze2	rule; regulation; regular; orderly; fixed	4
规划	規劃	gui1 hua4	to draw up a plan; to map out a program; a plan; a program	5
规定	規定	gui1 ding4	to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations	3
规律	規律	gui1 lu:4	rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline	4
规格	規格	gui1 ge2	standard; norm; specification	7-9
规模	規模	gui1 mo2	scale; scope; extent	4
规矩	規矩	gui1 ju5	lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved	7-9
规范	規範	gui1 fan4	norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify	3
视力	視力	shi4 li4	eyesight; visual acuity	7-9
视察	視察	shi4 cha2	to inspect; an investigation	7-9
视为	視為	shi4 wei2	to view as; to see as; to consider to be; to deem	5
视线	視線	shi4 xian4	line of sight	7-9
视觉	視覺	shi4 jue2	sight; vision; visual	7-9
视角	視角	shi4 jiao3	angle from which one observes an object; (fig.) perspective; viewpoint; frame of reference; (cinematography) camera angle; (visual perception) visual angle (the angle a viewed object subtends at the eye); (photography) angle of view	7-9
视野	視野	shi4 ye3	field of view; (fig.) outlook; perspective	7-9
视频	視頻	shi4 pin2	video	5
亲	親	qin1	parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (Internet slang) dear	3
亲	親	qing4	parents-in-law of one's offspring	3
亲人	親人	qin1 ren2	one's close relatives	3
亲切	親切	qin1 qie4	amiable; cordial; close and dear; familiar	3
亲友	親友	qin1 you3	friends and relatives	7-9
亲和力	親和力	qin1 he2 li4	(personal) warmth; approachability; accessibility; (in a product) user friendliness; (chemistry) affinity	7-9
亲密	親密	qin1 mi4	intimate; close	4
亲属	親屬	qin1 shu3	kin; kindred; relatives	6
亲情	親情	qin1 qing2	affection; family love; love, esp. within a married couple or between parents and children	7-9
亲爱	親愛	qin1 ai4	dear; beloved; darling	4
亲戚	親戚	qin1 qi5	a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4]	7-9
亲手	親手	qin1 shou3	with one's own hands; personally	7-9
亲朋好友	親朋好友	qin1 peng2 hao3 you3	friends and family; kith and kin	7-9
亲热	親熱	qin1 re4	affectionate; intimate; warmhearted; to show affection for; (coll.) to get intimate with sb	7-9
亲生	親生	qin1 sheng1	one's own (child) (i.e. one's child by birth); biological (parents); birth (parents)	7-9
亲眼	親眼	qin1 yan3	with one's own eyes; personally	6
亲自	親自	qin1 zi4	personally; in person; oneself	3
亲身	親身	qin1 shen1	personal; oneself	7-9
亲近	親近	qin1 jin4	(of people or relationships) close; intimate; to draw close to; to engage with; to become familiar with (nature, places, ideas, art etc)	7-9
觉	覺	jiao4	a nap; a sleep; CL:場|场[chang2]	6
觉	覺	jue2	to feel; to find that; thinking; awake; aware	6
觉得	覺得	jue2 de5	to think that ...; to feel that ...; to feel (uncomfortable etc)	1
觉悟	覺悟	jue2 wu4	to come to understand; to realize; consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)	6
觉醒	覺醒	jue2 xing3	to awaken; to come to realize; awakened to the truth; the truth dawns upon one; scales fall from the eyes; to become aware	7-9
观光	觀光	guan1 guang1	to tour; sightseeing; tourism	6
观察	觀察	guan1 cha2	to observe; to watch; to survey	3
观念	觀念	guan1 nian4	notion; thought; concept; sense; views; ideology; general impressions	3
观感	觀感	guan1 gan3	one's impressions; observations	7-9
观摩	觀摩	guan1 mo2	to observe and emulate; to study (esp. following sb's example)	7-9
观望	觀望	guan1 wang4	to wait and see; to watch from the sidelines; to look around; to survey	7-9
观测	觀測	guan1 ce4	to observe; to survey; observation (scientific etc)	7-9
观看	觀看	guan1 kan4	to watch; to view	3
观众	觀眾	guan1 zhong4	spectators; audience; visitors (to an exhibition etc)	3
观赏	觀賞	guan1 shang3	to look at sth with pleasure; to watch (sth marvelous); ornamental	7-9
观点	觀點	guan1 dian3	point of view; viewpoint; standpoint; CL:個|个[ge4]	2
角	角	Jue2	surname Jue	2
角	角	jiao3	angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan, or 10 cents (a dime); CL:個|个[ge4]	2
角	角	jue2	role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale	2
角度	角度	jiao3 du4	angle; (fig.) point of view	2
角色	角色	jue2 se4	role; part (in a play or movie etc); also pr. [jiao3se4]	4
角落	角落	jiao3 luo4	corner (of a room, courtyard etc); (fig.) remote spot; nook	7-9
角逐	角逐	jue2 zhu2	to tussle; to contend; to contest	7-9
粗	觕	cu1	variant of 粗[cu1]	4
解	解	Xie4	surname Xie	6
解	解	jie3	to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection	6
解	解	jie4	to transport under guard	6
解	解	xie4	acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old)	6
解雇	解僱	jie3 gu4	to fire; to sack; to dismiss; to terminate employment	7-9
解剖	解剖	jie3 pou1	to dissect (an animal); to analyze; anatomy	7-9
解围	解圍	jie3 wei2	to lift a siege; to help sb out of trouble or embarrassment	7-9
解放	解放	jie3 fang4	to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949; CL:次[ci4]	5
解救	解救	jie3 jiu4	to rescue; to help out of difficulties; to save the situation	7-9
解散	解散	jie3 san4	to dissolve; to disband	7-9
解析	解析	jie3 xi1	to analyze; to resolve; (math.) analysis; analytic	7-9
解决	解決	jie3 jue2	to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)	3
解答	解答	jie3 da2	to solve (a problem); to resolve (a difficulty); to provide an answer; solution; resolution; answer	7-9
解脱	解脫	jie3 tuo1	to untie; to free; to absolve of; to get free of; to extirpate oneself; (Buddhism) to free oneself of worldly worries	7-9
解说	解說	jie3 shuo1	to explain (verbally); to give a running commentary	6
